Date,Investment,InPortfolio
18-Apr-23,-1000,DM
18-Apr-23,-96010,DM
21-Apr-23,-25010,DM
24-Apr-23,-100010,DM
26-Apr-23,-95010,DM
02-May-23,-200010,DM
04-May-23,-100010,DM
04-May-23,-200010,DM
08-May-23,-1050010,DM
12-Jun-23,-900010,DM
19-Jun-23,-600010,DM
06-Aug-23,-500000,DM
28-Aug-23,-2350000,SV
31-Aug-23,-200010,DM
07-Sep-23,-600000,SV
15-Sep-23,-465000,SV
25-Sep-23,-200010,DM
30-Oct-23,-200010,DM
27-Nov-23,-200010,DM
16-Jan-24,-50000,SV
01-Feb-24,610000,DM
08-Apr-24,-100000,SV
01-May-24,-600010,DM
26-May-24,-300010,DM
28-May-24,-80000,SV
24-Jul-24,-300010,DM
07-Aug-24,-150000,SV
26-Aug-24,-200010,DM
02-Sep-24,-60000,SV
25-Sep-24,-200010,DM
11-Oct-24,-50000,SV
28-Oct-24,-250000,DM
27-Nov-24,-200000,DM
03-Dec-24,-90000,SV
27-Dec-24,-200000,DM
03-Jan-25,-90000,SV
15-Jan-25,-35000,SV
10-Feb-25,-225000,DM
10-Mar-25,48000,SV
01-Apr-25,-100000,SV
01-Apr-25,-200000,DM
23-Apr-25,-100000,DM
02-May-25,-280000,DM
02-May-25,-120000,SV
28-May-25,-250000,DM
30-Jul-25,-350000,DM
26-Aug-25,-165000,DM
30-Sep-25,-200000,DM
01-Oct-25,56783,DM
27-Oct-25,-250000,DM
03-Dec-25,-220000,DM
30-Dec-25,-200000,DM
15-Feb-26,-318000,DM
05-Mar-26,-250000,DM
21-Apr-26,-200000,DM
23-Apr-26,-200000,DM
30-Jul-26,-655000,DM
