date,investment,cy_invested,reserve_amt,current,today_pnl_amount,today_pnl_percentage,curr_pnl_amount,curr_pnl_percentage,cy_pnl_amount,cy_pnl_percentage,total_profit,total_loss,overall_pnl_amount,overall_pnl_percentage,total_booked_amt,total_booked_percentage,cy_booked_amt,cy_booked_percentage,py_booked_amt,py_booked_percentage,estimate_st,est_st_pnl_amount,est_st_pnl_percentage,estimate_lt,est_lt_pnl_amount,est_lt_pnl_percentage,cagr
06-12-2024,10102190,11413190,1700,12200238.0,19948.0,0.16,-199431.0,-1.75,760569.0,6.66,828759.0,-1028189.0,2071569.0,20.51,2271000,22.48,960000,7.87,1311000,12.98,19425149.0,7224911.0,59.22,24530839.0,12330601.0,101.07,17.61
10-12-2024,10102190,11413190,2500,12283079.0,80131.0,0.66,-183516.0,-1.61,843484.0,7.39,802490.0,-986008.0,2154484.0,21.33,2338000,23.14,1027000,8.36,1311000,12.98,19441419.0,7158340.0,58.28,24575759.0,12292680.0,100.08,18.11
11-12-2024,10102190,11413190,2500,12314905.0,34495.0,0.28,-151690.0,-1.33,875310.0,7.67,837993.0,-989681.0,2186310.0,21.64,2338000,23.14,1027000,8.34,1311000,12.98,19441419.0,7126514.0,57.87,24574013.0,12259108.0,99.55,18.32
16-12-2024,10102190,11413190,2500,12227280.0,29403.0,0.24,-239315.0,-2.1,787685.0,6.9,827639.0,-1066953.0,2098685.0,20.77,2338000,23.14,1027000,8.4,1311000,12.98,19441830.0,7214550.0,59.0,24576170.0,12348890.0,100.99,17.4
17-12-2024,10102190,11413190,2500,12098044.0,-131789.0,-1.08,-368551.0,-3.23,658449.0,5.77,762069.0,-1130618.0,1969449.0,19.5,2338000,23.14,1027000,8.49,1311000,12.98,19441419.0,7343375.0,60.7,24575046.0,12477002.0,103.13,16.33
20-12-2024,10102190,11413190,2500,11675816.0,-223199.0,-1.88,-790779.0,-6.93,236221.0,2.07,636983.0,-1427765.0,1547221.0,15.32,2338000,23.14,1027000,8.8,1311000,12.98,19441830.0,7766014.0,66.51,24571916.0,12896100.0,110.45,12.85
21-12-2024,10102190,11413190,2500,11676518.0,-221905.0,-1.86,-790077.0,-6.92,236923.0,2.08,636443.0,-1426520.0,1547923.0,15.32,2338000,23.14,1027000,8.8,1311000,12.98,19441830.0,7765312.0,66.5,24573711.0,12897193.0,110.45,12.83
27-12-2024,10302190,11613190,3100,11845645.0,-177.0,0.0,-858744.0,-7.39,207256.0,1.78,573180.0,-1431927.0,1518256.0,14.74,2377000,23.07,1066000,9.0,1311000,12.73,19594291.0,7748646.0,65.41,24929116.0,13083471.0,110.45,12.4
30-12-2024,10302190,11613190,3100,11778728.0,-66917.0,-0.56,-925661.0,-7.97,140339.0,1.21,533042.0,-1458704.0,1451339.0,14.09,2377000,23.07,1066000,9.05,1311000,12.73,18927436.0,7148708.0,60.69,24712189.0,12933461.0,109.8,11.79
31-12-2024,10302190,11613190,3100,11814394.0,33362.0,0.28,-889995.0,-7.66,176005.0,1.52,554111.0,-1444108.0,1487005.0,14.43,2377000,23.07,1066000,9.02,1311000,12.73,19035673.0,7221279.0,61.12,24712189.0,12897795.0,109.17,12.04
01-01-2025,10302190,11613190,3100,11950129.0,135735.0,1.15,-754260.0,-6.49,311740.0,2.68,584764.0,-1339026.0,1622740.0,15.75,2377000,23.07,1066000,8.92,1311000,12.73,19070574.0,7120445.0,59.58,24710393.0,12760264.0,106.78,13.07
02-01-2025,10302190,11613190,3100,12075972.0,125843.0,1.05,-628417.0,-5.41,437583.0,3.77,637395.0,-1265811.0,1748583.0,16.97,2377000,23.07,1066000,8.83,1311000,12.73,19070574.0,6994602.0,57.92,24708647.0,12632675.0,104.61,14.0
03-01-2025,10392190,11703190,3000,12162743.0,2527.0,0.02,-649906.0,-5.55,437094.0,3.73,610848.0,-1260761.0,1748094.0,16.82,2398000,23.08,1087000,8.94,1311000,12.62,19209748.0,7047005.0,57.94,24776026.0,12613283.0,103.7,13.95
06-01-2025,10392190,11703190,3000,11855983.0,-306760.0,-2.52,-956666.0,-8.17,130334.0,1.11,525337.0,-1482003.0,1441334.0,13.87,2398000,23.08,1087000,9.17,1311000,12.62,18673012.0,6817029.0,57.5,24771771.0,12915788.0,108.94,11.5
07-01-2025,10392190,11703190,0,11962074.0,108384.0,0.91,-914929.0,-7.82,235071.0,2.01,480610.0,-1395540.0,1546071.0,14.88,2461000,23.68,1150000,9.61,1311000,12.62,18708116.0,6746042.0,56.4,24810448.0,12848374.0,107.41,12.29
08-01-2025,10392190,11703190,0,11905854.0,-56220.0,-0.47,-971149.0,-8.3,178851.0,1.53,459715.0,-1430865.0,1489851.0,14.34,2461000,23.68,1150000,9.66,1311000,12.62,18708116.0,6802262.0,57.13,24811161.0,12905307.0,108.39,11.83
10-01-2025,10392190,11703190,0,11642800.0,-207641.0,-1.75,-1234203.0,-10.55,-84203.0,-0.72,408033.0,-1642237.0,1226797.0,11.8,2461000,23.68,1150000,9.88,1311000,12.62,18690893.0,7048093.0,60.54,24799634.0,13156834.0,113.0,9.72
13-01-2025,10392190,11703190,0,11271529.0,-371271.0,-3.19,-1605474.0,-13.72,-455474.0,-3.89,314395.0,-1919872.0,855526.0,8.23,2461000,23.68,1150000,10.2,1311000,12.62,18690893.0,7419364.0,65.82,24798942.0,13527413.0,120.01,6.84
14-01-2025,10392190,11703190,0,11438357.0,162234.0,1.44,-1467919.0,-12.54,-282919.0,-2.42,301952.0,-1769873.0,1028081.0,9.89,2496000,24.02,1185000,10.36,1311000,12.62,18648458.0,7210101.0,63.03,24753134.0,13314777.0,116.4,8.12
16-01-2025,10427190,11738190,0,11585935.0,117152.0,1.02,-1355167.0,-11.54,-165167.0,-1.41,337448.0,-1692613.0,1145833.0,10.99,2501000,23.99,1190000,10.27,1311000,12.57,18699578.0,7113643.0,61.4,24808815.0,13222880.0,114.13,8.94
17-01-2025,10427190,11738190,0,11578815.0,-6730.0,-0.06,-1362287.0,-11.61,-172287.0,-1.47,319559.0,-1681842.0,1138713.0,10.92,2501000,23.99,1190000,10.28,1311000,12.57,18699578.0,7120763.0,61.5,24809507.0,13230692.0,114.27,8.84
