Symbol,Shares,AvgCost,InPortfolio
5PAISA,416,525.23,SV
ABBOTINDIA,1,29555,DM
ABBOTINDIA,5,29860,SV
ACC,120,2234.4,DM
ALKYLAMINE,31,2337.25,DM
ALKYLAMINE,12,2375.7,SV
ASIANPAINT,102,2778.81,DM
ATULAUTO,136,516.51,DM
ATULAUTO,204,622,SV
AWL,572,283.24,DM
AWL,655,296.64,SV
BAJAJHFL,2439,111.95,DM
BAJAJHLDNG,23,11130.65,DM
BANDHANBNK,733,215.93,DM
BANDHANBNK,607,198.17,SV
BATAINDIA,83,1550.24,DM
BERGEPAINT,242,505.25,DM
BERGEPAINT,233,581.46,SV
BSOFT,255,551.58,DM
CAMPUS,271,296.39,DM
CAMPUS,298,293.47,SV
CAMS,330,763.2,DM
CERA,13,8421.6,DM
CERA,10,6642.25,SV
CIPLA,184,1310.85,DM
COFFEEDAY,400,52.25,DM
COFFEEDAY,1520,60.95,SV
COLPAL,100,2633.65,DM
DABUR,280,508.94,DM
DABUR,205,514.94,SV
DEN,1600,52.79,SV
DIXON,19,13726.21,DM
DMART,76,4102.5,DM
EASEMYTRIP,3350,16.91,DM
EASEMYTRIP,6408,18.75,SV
FINCABLES,187,789.54,SV
GILLETTE,12,8445.33,DM
GILLETTE,18,8475.13,SV
GLAXO,80,2491.05,SV
GODREJCP,114,1083.75,DM
GODREJCP,113,1114.95,SV
GREENPANEL,105,307.59,DM
GREENPANEL,383,393.69,SV
HAPPSTMNDS,160,801.03,DM
HATHWAY,6000,18.12,SV
HAVELLS,210,1561.86,DM
HCLTECH,207,1495.1,DM
HDFCBANK,154,795.95,DM
HDFCBANK,204,836,SV
HDFCLIFE,430,583.11,DM
HINDUNILVR,140,2403.69,DM
HONAUT,5,38567.69,DM
HYUNDAI,130,1933.32,DM
ICICIGI,39,1904.39,DM
ICICIGI,67,1878.17,SV
ICICIPRULI,326,604.31,DM
IEX,1357,147.35,SV
INDIAMART,53,2327.09,DM
INDIGOPNTS,124,1407.73,DM
INDUSINDBK,36,1301.47,DM
INDUSINDBK,21,1445.4,SV
INFY,268,1404.74,DM
IRCTC,326,829.78,SV
ITC,1096,362.48,DM
BOSCH-HCIL,56,2282.24,SV
JIOFIN,1290,288.64,DM
KANSAINER,538,278.7,DM
KANSAINER,362,330.73,SV
KOTAKBANK,630,380.48,DM
LAOPALA,115,359.5,DM
LAOPALA,278,322.89,SV
M&M,76,3166.85,DM
MARUTI,10,13911.8,DM
MARUTI,8,13515,SV
MASFIN,300,326.6,SV
PAGEIND,3,38278.33,DM
PAGEIND,4,38386,SV
PGHH,16,13345,DM
QUESS,438,243.82,DM
RAJOOENG,1000,102.5,DM
RAJESHEXPO,195,522.65,DM
RAJESHEXPO,70,503.71,SV
RELAXO,145,725.51,DM
RELAXO,43,929.32,SV
RELIANCE,185,1451.49,DM
RELIANCE,19,1555.3,SV
REPCOHOME,383,459,DM
REPCOHOME,235,471.09,SV
RECLTD,550,369.4,DM
ROUTE,101,1317.49,SV
SFL,258,1016.35,DM
SHALBY,391,258.81,DM
SHALBY,302,264.74,SV
SIEMENS,50,3721.9,SV
SIS,255,435.42,DM
STARHEALTH,256,470.76,DM
STARHEALTH,288,557.66,SV
SURYODAY,1020,175.56,DM
SYMPHONY,131,1306.42,DM
TANLA,206,879.63,DM
TANLA,100,895.56,SV
TATAELXSI,19,6938.68,SV
TCS,136,3406.42,DM
TITAGARH,168,1063.16,DM
TITAGARH,60,1059.44,SV
TMPV,990,420.31,DM
TRIDENT,2470,37.35,DM
TTKPRESTIG,131,769.29,DM
UNITDSPR,77,1376.94,DM
UNITDSPR,95,1348.62,SV
UTIAMC,245,907.47,DM
VAIBHAVGBL,364,333.63,DM
VAIBHAVGBL,200,306.66,SV
VALIANTORG,185,532.61,DM
VALIANTORG,155,419.82,SV
VBL,713,493.47,DM
VOLTAS,150,1278.28,SV
WHIRLPOOL,92,1247.8,SV
WIPRO,695,243.81,SV
ZYDUSLIFE,221,948.3,DM
