Symbol,XIRR%,ABS%,InPF
5PAISA,20.0,9.0,1
AARTIIND,-8.0,-10.0,1
AAVAS,6.0,3.0,1
ABSLAMC,47.0,27.0,0
ACC,-37.0,-20.0,1
ALKYLAMINE,-59.0,-26.0,1
AMBUJACEM,38.0,14.0,0
ANGELONE,77.0,24.0,0
APEX,-9.0,-3.0,0
ARE&M,85.0,35.0,0
ASIANPAINT,-18.0,-10.0,1
ASIANTILES,-16.0,-19.0,1
ATULAUTO,-49.0,-18.0,1
AVANTIFEED,56.0,29.0,0
AWL,-36.0,-32.0,1
BAJAJFINSV,11.0,17.0,1
BAJAJHIND,431.0,19.0,0
BAJFINANCE,19.0,10.0,1
BANDHANBNK,-29.0,-32.0,1
BANKBARODA,11.0,15.0,0
BANKINDIA,-12.0,-13.0,1
BATAINDIA,-8.0,-9.0,1
BAYERCROP,9.0,14.0,0
BERGEPAINT,-14.0,-16.0,1
BIOCON,67.0,34.0,0
BIRLAMONEY,365.0,55.0,0
BOROLTD,142.0,30.0,0
BRITANNIA,239.0,154.0,1
BSOFT,-28.0,-13.0,1
CAMPUS,-16.0,-8.0,1
CAMS,261.0,169.0,0
CASTROLIND,2824.0,30.0,0
CDSL,271.0,73.0,0
CERA,-57.0,-28.0,1
CLEAN,-0.0,-0.0,0
COFFEEDAY,,-100.0,1
COLPAL,-21.0,-3.0,1
CROMPTON,58.0,33.0,0
CUB,4.0,1.0,0
DABUR,1.0,1.0,1
DEN,-21.0,-27.0,1
DMART,33.0,8.0,1
EASEMYTRIP,-91.0,-51.0,1
EICHERMOT,109.0,11.0,0
EMAMILTD,118.0,64.0,0
FINEORG,-6.0,-9.0,1
GICRE,109.0,47.0,1
GILLETTE,64.0,27.0,0
GLAND,17.0,12.0,0
GREENPANEL,-17.0,-15.0,1
GULFOILLUB,187.0,17.0,0
HAPPSTMNDS,-22.0,-23.0,1
HATHWAY,-18.0,-23.0,1
HCLTECH,99.0,41.0,0
HDFCAMC,136.0,56.0,0
HDFCBANK,4.0,4.0,1
HDFCLIFE,16.0,11.0,1
HINDPETRO,1817.0,34.0,0
HINDUNILVR,-3.0,-3.0,1
HONAUT,97.0,24.0,1
IBHFL,,,0
IBULHSGFIN,,-100.0,0
ICICIGI,52.0,38.0,0
ICICIPRULI,103.0,55.0,0
IEX,20.0,27.0,0
INDIGOPNTS,-1.0,-1.0,1
INDUSINDBK,-21.0,-30.0,1
INFY,33.0,26.0,1
IRCTC,12.0,8.0,1
J&KBANK,680.0,35.0,0
JCHAC,-57.0,-25.0,1
JIOFIN,26.0,7.0,1
JMFINANCIL,90.0,53.0,0
JPPOWER,48.0,15.0,1
JSWSTEEL,802.0,29.0,0
JUBLFOOD,22.0,27.0,0
JUNIORBEES,71.0,2.0,0
KANSAINER,-30.0,-19.0,1
KOTAKBANK,4.0,5.0,0
LALPATHLAB,12.0,12.0,0
LAOPALA,-50.0,-21.0,1
LICI,202.0,39.0,0
LTIM,7.0,5.0,1
LUXIND,6.0,10.0,1
MARICO,42.0,22.0,0
MASFIN,-74.0,-75.0,1
MEDANTA,8.0,2.0,1
METROPOLIS,19.0,29.0,0
NEOGEN,36.0,22.0,0
NHPC,-54.0,-6.0,1
NIACL,442.0,100.0,0
NIFTYBEES,37.0,1.0,0
NIPINIFITETF,25.0,9.0,0
NMDC,507.0,41.0,0
PAGEIND,16.0,21.0,0
PIDILITIND,10.0,15.0,1
PNB,238.0,31.0,0
QUESS,-33.0,-15.0,1
RAJESHEXPO,-49.0,-62.0,1
RBLBANK,-48.0,-32.0,1
RELAXO,-26.0,-38.0,1
RELETFNM150,118.0,3.0,0
RELIANCE,67.0,8.0,1
REPCOHOME,-44.0,-26.0,1
ROSSARI,32.0,25.0,0
ROUTE,-38.0,-20.0,1
SAIL,-18.0,-4.0,1
SATIN,-58.0,-27.0,1
SBICARD,-1.0,-1.0,1
SBIETFPB,0.0,0.0,1
SBIN,93.0,32.0,0
SFL,-13.0,-10.0,1
SHALBY,-31.0,-17.0,1
SIS,-28.0,-31.0,1
SONACOMS,-8.0,-9.0,1
SPORTKING,-68.0,-6.0,0
SRF,18.0,3.0,0
STARHEALTH,-19.0,-20.0,1
SUNTV,13.0,19.0,0
SURYODAY,-41.0,-34.0,1
SYMPHONY,75.0,30.0,0
TANLA,-37.0,-39.0,1
TASTYBITE,27.0,5.0,0
TATACONSUM,51.0,3.0,0
TATAELXSI,-10.0,-13.0,1
TATAMOTORS,-49.0,-8.0,1
TCS,8.0,2.0,1
TEAMLEASE,2.0,3.0,0
TITAGARH,-40.0,-13.0,1
TRIDENT,-16.0,-17.0,1
TTKPRESTIG,1.0,1.0,1
UJJIVANSFB,-27.0,-13.0,1
UNIONBANK,-39.0,-13.0,1
UTIAMC,96.0,25.0,0
VAIBHAVGBL,-24.0,-21.0,1
VALIANTORG,-27.0,-35.0,1
VIPIND,-47.0,-22.0,1
WHIRLPOOL,34.0,18.0,0
WIPRO,33.0,46.0,0
