Symbol,Momentm,Signal
TITAGARH,UP,Buy
SIEMENS,UP,Buy
BLUESTARCO,UP,Buy
BAJAJHLDNG,UP,Buy
NTPC,UP,Buy
VALIANTORG,DOWN,Sell
COALINDIA,UP,Buy
SBICARD,NA,Sell
HSCL,UP,Buy
ALKYLAMINE,NA,Sell
RELAXO,NA,Sell
FOSECOIND,UP,Buy
HAPPSTMNDS,NA,Sell
BANDHANBNK,NA,Sell
BOSCHLTD,UP,Buy
SFL,NA,Sell
JYOTHYLAB,UP,Buy
SBIETFPB,UP,Buy
YESBANK,UP,Buy
SRF,NA,Sell
VGUARD,UP,Buy
BATAINDIA,NA,Sell
ASTRAZEN,UP,Buy
AXISBANK,UP,Buy
FINCABLES,UP,Buy
TATAELXSI,NA,Sell
JINDALSTEL,UP,Buy
ABBOTINDIA,UP,Buy
EXIDEIND,UP,Buy
GICRE,UP,Buy
AWL,DOWN,Sell
IOC,UP,Buy
EASEMYTRIP,NA,Sell
VIPIND,NA,Sell
POLYCAB,UP,Buy
GODREJCP,UP,Buy
ULTRACEMCO,UP,Buy
GAIL,UP,Buy
DRREDDY,UP,Buy
RAJESHEXPO,DOWN,Sell
BAJAJ-AUTO,UP,Buy
DLF,UP,Buy
INDIGO,UP,Buy
REPCOHOME,UP,Buy
OFSS,UP,Buy
MAXHEALTH,UP,Buy
NIACL,UP,Buy
HINDPETRO,UP,Buy
3MINDIA,UP,Buy
AUROPHARMA,UP,Buy
SUZLON,UP,Buy
BPCL,UP,Buy
SURYODAY,UP,Buy
TORNTPHARM,UP,Buy
MCX,UP,Buy
MARUTI,UP,Buy
BAJAJHIND,UP,Buy
MANAPPURAM,UP,Buy
POWERGRID,UP,Buy
M&M,UP,Buy
LUPIN,UP,Buy
BHARTIARTL,UP,Buy
TATAMOTORS,UP,Buy
COLPAL,UP,Buy
GODREJIND,UP,Buy
TIPSINDLTD,UP,Buy
SPORTKING,UP,Buy
HEROMOTOCO,UP,Buy
ONGC,UP,Buy
GILLETTE,UP,Buy
NAM-INDIA,UP,Buy
APLLTD,UP,Buy
MUTHOOTFIN,UP,Buy
SONACOMS,UP,Buy
GULFOILLUB,UP,Buy
NAUKRI,UP,Buy
ICICIGI,UP,Buy
CAPLIPOINT,UP,Buy
ICICIPRULI,UP,Buy
CASTROLIND,UP,Buy
JSWHL,UP,Buy
JMFINANCIL,UP,Buy
SUNPHARMA,UP,Buy
ERIS,UP,Buy
SUNTV,UP,Buy
HDFCAMC,UP,Buy
ISEC,UP,Buy
DEN,UP,Buy
LICHSGFIN,UP,Buy
BIRLAMONEY,UP,Buy
TIDEWATER,UP,Buy
CIPLA,UP,Buy
DIXON,UP,Buy
NMDC,UP,Buy
GLAXO,UP,Buy
NATIONALUM,UP,Buy
JPPOWER,UP,Buy
GRASIM,UP,Buy
BAYERCROP,UP,Buy
HATHWAY,UP,Buy
TECHM,UP,Buy
GEOJITFSL,UP,Buy
SBILIFE,UP,Buy
LALPATHLAB,UP,Buy
HCLTECH,UP,Buy
CDSL,UP,Buy
INFIBEAM,UP,Buy
ABSLAMC,UP,Buy
LAOPALA,NA,Sell
CAMS,UP,Buy
LICI,UP,Buy
ITBEES,UP,Buy
EICHERMOT,UP,Buy
APOLLOHOSP,UP,Buy
TATAPOWER,UP,Buy
ARVINDFASN,UP,Buy
HINDALCO,UP,Buy
IBREALEST,UP,Buy
UTIAMC,UP,Buy
TATASTEEL,UP,Buy
RADICO,UP,Buy
METROPOLIS,UP,Buy
TCS,UP,Buy
QUESS,UP,Buy
PFIZER,UP,Buy
SAIL,UP,Buy
WIPRO,UP,Buy
TEAMLEASE,UP,Buy
INDUSTOWER,UP,Buy
GLAND,UP,Buy
VOLTAS,UP,Buy
RELIANCE,UP,Buy
WESTLIFE,NA,Sell
ZEEL,DOWN,Sell
BAJFINANCE,NA,Sell
AVANTIFEED,UP,Buy
AMBUJACEM,UP,Buy
AUBANK,NA,Sell
ACC,UP,Buy
CERA,NA,Sell
SBIN,UP,Buy
HAVELLS,UP,Buy
BIOCON,UP,Buy
ICICIBANK,UP,Buy
DREAMFOLKS,NA,Sell
KANSAINER,NA,Sell
PIDILITIND,UP,Buy
WSTCSTPAPR,NA,Sell
DMART,UP,Buy
TANLA,DOWN,Sell
CUB,UP,Buy
VEDL,UP,Buy
HONAUT,UP,Buy
FEDERALBNK,UP,Buy
DIVISLAB,UP,Buy
IEX,UP,Buy
JSWSTEEL,UP,Buy
SYMPHONY,UP,Buy
TASTYBITE,DOWN,Sell
IGL,UP,Buy
BRITANNIA,UP,Buy
BALKRISIND,UP,Buy
EMAMILTD,UP,Buy
VAIBHAVGBL,NA,Sell
JCHAC,UP,Buy
PGHH,NA,Sell
TRIDENT,NA,Sell
EQUITASBNK,NA,Sell
CROMPTON,UP,Buy
UJJIVAN,NA,Sell
SONATSOFTW,NA,Sell
ATULAUTO,UP,Buy
SATIN,NA,Sell
ASIANTILES,UP,Buy
TITAN,NA,Sell
UJJIVANSFB,NA,Sell
CHOLAFIN,UP,Buy
DABUR,UP,Buy
PRAJIND,UP,Buy
JUBLFOOD,UP,Buy
PARAGMILK,NA,Sell
MARICO,UP,Buy
WHIRLPOOL,UP,Buy
AKZOINDIA,UP,Buy
AAVAS,UP,Buy
DEEPAKNTR,UP,Buy
PIIND,UP,Buy
LUXIND,UP,Buy
INFY,UP,Buy
INDUSINDBK,NA,Sell
MASFIN,NA,Sell
APEX,UP,Buy
TTKPRESTIG,UP,Buy
SIS,NA,Sell
HDFCLIFE,UP,Buy
CLEAN,UP,Buy
VINATIORGA,UP,Buy
NESTLEIND,NA,Sell
SANOFI,DOWN,Sell
ANGELONE,NA,Sell
PEL,UP,Buy
SHARDACROP,UP,Buy
ROSSARI,UP,Buy
SHALBY,NA,Sell
BAJAJFINSV,UP,Buy
DCBBANK,NA,Sell
J&KBANK,NA,Sell
LTIM,UP,Buy
PAGEIND,UP,Buy
INDIGOPNTS,UP,Buy
FINEORG,UP,Buy
COFFEEDAY,DOWN,Sell
HDFCBANK,UP,Buy
HINDUNILVR,UP,Buy
5PAISA,NA,Sell
TV18BRDCST,NA,Sell
UNIONBANK,NA,Sell
KOTAKBANK,UP,Buy
BANKINDIA,NA,Sell
NEOGEN,UP,Buy
NETWORK18,NA,Sell
RBLBANK,DOWN,Sell
BANKBARODA,NA,Sell
CAMPUS,UP,Buy
BSOFT,NA,Sell
ITC,UP,Buy
BOROLTD,UP,Buy
BERGEPAINT,UP,Buy
LT,NA,Sell
IRCTC,NA,Sell
INDIANB,NA,Sell
AARTIIND,NA,Sell
MOTILALOFS,UP,Buy
MRF,NA,Sell
TATACONSUM,NA,Sell
AETHER,NA,Sell
TATACOMM,NA,Sell
GREENPANEL,UP,Buy
PNB,NA,Sell
ASIANPAINT,NA,Sell
ROUTE,NA,Sell
SAMMAANCAP,DOWN,Sell
SHREECEM,DOWN,Sell
CENTRALBK,NA,Sell
CANBK,NA,Sell
STARHEALTH,NA,Sell
UPL,NA,Sell
