Name,CMP,ATH%,PE,EPS,PB,MCap,ROCE%,ROE%,Sales_Grwth%,Profit_Grwth%,MedPE,ROCE_5Yr%,ROE_5Yr%,Debt2EqR,PAT_12M,CFO_2_EBITDA%,CapType,Symbol,Latest
https://www.screener.in/company/RELIANCE/consolidated/,1312.35,22.82,23.76,55.22,1.98,1775942.2,10.26,8.91,15,-0.42,25.52,0.38,8.64,0.45,88167,93.68,LC,RELIANCE,1
https://www.screener.in/company/BHARTIARTL/consolidated/,1963.85,10.74,39.24,48.65,8.09,1225450.47,17.56,20.27,19.63,5.79,59.78,0.52,16.55,1.31,36412.6,102.44,LC,BHARTIARTL,1
https://www.screener.in/company/HDFCBANK/consolidated/,727.25,40.32,14.19,51.35,1.87,1120648.01,7.02,13.64,2.81,11.96,19.72,0.96,15.37,6.21,82511.72,38.94,LC,HDFCBANK,1
https://www.screener.in/company/ICICIBANK/consolidated/,1415.4,5.98,18.09,78.36,2.69,1015712.19,7.18,15.92,3.96,6.05,19,0.88,16.97,5.55,59756.14,39.87,LC,ICICIBANK,1
https://www.screener.in/company/SBIN/consolidated/,1083.05,14.01,11.9,93.4,1.6,999722.03,6.13,15.38,5.52,5.76,10.48,1.29,15.93,11.08,89665.18,8.78,LC,SBIN,1
https://www.screener.in/company/TCS/consolidated/,2345.35,95.8,15.79,137.64,7.94,848568.15,63.03,51.81,7.7,8.97,29.81,3.28,49.36,0.11,50055,68.14,LC,TCS,1
https://www.screener.in/company/BAJFINANCE/consolidated/,1087,8.33,33.03,32.62,5.96,676761.22,10.87,18.25,17.85,17.53,34.47,0.55,19.86,3.82,20647.67,-117.46,LC,BAJFINANCE,1
https://www.screener.in/company/LT/consolidated/,3995.35,11.13,31.21,120.6,5.06,549706.65,14.57,15.86,9.78,13.35,32.59,0.51,13.9,1.15,19623.75,40.92,LC,LT,1
https://www.screener.in/company/LICI/consolidated/,413.7,47.69,8.74,47.49,,523330.31,35.14,37.82,10.13,23.28,12.82,4.33,51.94,,60055.25,-48.38,LC,LICI,1
https://www.screener.in/company/HINDUNILVR/consolidated/,2060.5,40.97,43.88,63.66,9.92,484133.32,28.42,31.03,5.8,3.61,54.81,0.71,22.15,0.03,14971,69.66,LC,HINDUNILVR,1
https://www.screener.in/company/INFY/consolidated/,1159.65,73.05,15.08,74.24,5.14,470592.48,39.95,31.89,11.22,14.33,25.7,2.11,30.67,0.1,30325,73.52,LC,INFY,1
https://www.screener.in/company/SUNPHARMA/consolidated/,1940.9,5.49,36.82,50.41,5.54,465686.94,20.53,15.95,11.41,10.17,33.37,0.43,16.09,0.06,12117.01,63.01,LC,SUNPHARMA,1
https://www.screener.in/company/TITAN/consolidated/,5022.05,2.92,76.39,64.88,28.37,445850.65,20.54,37.69,45.05,57.18,86.98,0.49,32.45,1.95,5760,62.74,LC,TITAN,1
https://www.screener.in/company/MARUTI/consolidated/,13892.95,25.04,30.47,455.91,4.08,436797.91,18.87,14.26,26.61,-1.37,32.01,0.47,13.72,0,14334,73.6,LC,MARUTI,1
https://www.screener.in/company/M&M/consolidated/,3405.1,12.77,22.1,148.53,4.54,423434,15.1,20.33,26.18,38.11,24.72,0.92,18.2,1.47,20242.69,27.5,LC,M&M,1
https://www.screener.in/company/ADANIENT/consolidated/,2954.4,37.49,168.44,58.54,4.74,399857.24,5.8,-3.38,18.06,-36.42,110.53,-0.02,3.62,1.32,7512.67,14.63,LC,ADANIENT,1
https://www.screener.in/company/ADANIPOWER/consolidated/,204.85,24.09,27.71,7.39,6.1,395046.97,17.22,21.07,6.64,14.86,15.81,0.76,33.42,0.84,14532.55,87.82,LC,ADANIPOWER,1
https://www.screener.in/company/KOTAKBANK/consolidated/,389.9,18.08,19.39,20.41,2.14,387848.01,6.98,11.39,5.68,4.59,22.03,0.59,13.77,3.65,20296.17,73.66,LC,KOTAKBANK,1
https://www.screener.in/company/ADANIPORTS/consolidated/,1649.65,14.68,28.61,57.81,3.98,380072.62,14.12,16.38,23.85,16.78,27.44,0.57,16.81,0.66,13120.93,80.76,LC,ADANIPORTS,1
https://www.screener.in/company/AXISBANK/consolidated/,1217.1,16.53,13.65,89.39,1.72,378856.73,6.24,13.12,5.58,-0.32,14.12,0.96,14.07,7.47,27938.79,-7.98,LC,AXISBANK,1
https://www.screener.in/company/HCLTECH/consolidated/,1360.85,47.86,20.4,64.2,4.91,369289.14,30.4,23.81,12.59,6.8,23.91,1.17,23.44,0.07,17434,71.03,LC,HCLTECH,1
https://www.screener.in/company/ITC/consolidated/,276.65,79.09,17.54,15.84,4.78,346627.75,38.91,29.32,-3.23,-1.41,24.55,1.67,32.18,0.03,20183.53,61.32,LC,ITC,1
https://www.screener.in/company/ULTRACEMCO/consolidated/,11611.15,12.91,39.66,289.77,4.44,342156.37,12.66,11.1,17.18,26.72,44.2,0.28,11.21,0.31,8571.16,87.73,LC,ULTRACEMCO,1
https://www.screener.in/company/HAL/consolidated/,4990.55,13.71,35.81,139.38,8.13,333755.5,31.97,23.97,7.42,12.22,29.42,0.67,26.61,0,9321.41,80.62,LC,HAL,1
https://www.screener.in/company/NTPC/consolidated/,339.75,31.99,11.85,28.63,1.63,329444.2,8.33,13.97,2.35,15.88,13.13,1.18,13.1,1.33,28333.74,87.61,LC,NTPC,1
https://www.screener.in/company/BAJAJFINSV/consolidated/,2023.65,8.47,31.54,63.43,4.15,324201.12,10.58,13.23,14.54,7.91,35.25,0.42,13.74,5.52,20636.97,-96.83,LC,BAJAJFINSV,1
https://www.screener.in/company/BAJAJ-AUTO/consolidated/,11630.05,9.84,27.14,420.8,8.39,319598.22,28.24,29.15,36.91,55.23,26.74,1.07,23.85,0.58,11552.81,16.41,LC,BAJAJ-AUTO,1
https://www.screener.in/company/JSWSTEEL/consolidated/,1270.4,5.09,25.82,101.34,3.09,310670.44,10.96,10.24,12.22,136.05,32.95,0.4,12.82,0.99,27995,81.9,LC,JSWSTEEL,1
https://www.screener.in/company/ETERNAL/consolidated/,318.3,15.76,709.38,0.45,9.89,307170.64,2.48,0.38,190.5,44.82,521.91,0,-1.85,0.15,433,25.91,LC,ETERNAL,1
https://www.screener.in/company/ONGC/consolidated/,238.6,44.59,6.88,34.59,0.81,300165.46,14.15,11.66,7.11,20.93,7.01,1.69,14.21,0.47,44793.33,95.14,LC,ONGC,1
https://www.screener.in/company/BEL/consolidated/,406.7,16.41,48.33,8.41,12.38,297288.75,36.44,27.45,19.83,11.75,38.86,0.57,25.84,0,6147.74,17.93,LC,BEL,1
https://www.screener.in/company/NESTLEIND/,1513,2.64,77.7,20.02,54.97,291753.97,84.14,73.17,19.3,24.81,78.79,0.94,97.54,0.08,3860.49,94.48,LC,NESTLEIND,1
https://www.screener.in/company/SHRIRAMFIN/consolidated/,1140,1.2,23.72,56.48,3.24,268236.1,11.49,16.39,14.2,33.03,13.82,0.69,15.71,3.8,11317.53,-37.32,LC,SHRIRAMFIN,1
